subject,label,S1_D1_w1,S1_D1_w2,S1_D1_w3,S1_D2_w1,S1_D2_w2,S1_D2_w3,S2_D1_w1,S2_D1_w2,S2_D1_w3,S2_D3_w1,S2_D3_w2,S2_D3_w3,S3_D1_w1,S3_D1_w2,S3_D1_w3,S3_D2_w1,S3_D2_w2,S3_D2_w3,S3_D3_w1,S3_D3_w2,S3_D3_w3,S3_D4_w1,S3_D4_w2,S3_D4_w3,S4_D2_w1,S4_D2_w2,S4_D2_w3,S4_D4_w1,S4_D4_w2,S4_D4_w3,S5_D3_w1,S5_D3_w2,S5_D3_w3,S5_D4_w1,S5_D4_w2,S5_D4_w3,S6_D5_w1,S6_D5_w2,S6_D5_w3,S6_D6_w1,S6_D6_w2,S6_D6_w3,S7_D5_w1,S7_D5_w2,S7_D5_w3,S7_D7_w1,S7_D7_w2,S7_D7_w3,S8_D5_w1,S8_D5_w2,S8_D5_w3,S8_D6_w1,S8_D6_w2,S8_D6_w3,S8_D7_w1,S8_D7_w2,S8_D7_w3,S8_D8_w1,S8_D8_w2,S8_D8_w3,S9_D6_w1,S9_D6_w2,S9_D6_w3,S9_D8_w1,S9_D8_w2,S9_D8_w3,S10_D7_w1,S10_D7_w2,S10_D7_w3,S10_D8_w1,S10_D8_w2,S10_D8_w3
sub-101,3,-7.12077899233193e-08,-1.5914817460182073e-08,4.0371248733828944e-08,1.0595062986177708e-07,-1.5914817460182073e-08,5.57686350451088e-09,-5.745609679464915e-08,1.1589692827078592e-09,3.8631506733859875e-08,3.9381047795183326e-08,7.768854924742332e-09,1.4250819091089609e-08,-5.5243221950695944e-08,-4.4751556016216036e-08,-1.2898227150169985e-08,1.0889158597812801e-07,-4.4751556016216036e-08,7.897477356107937e-09,1.0889158597812801e-07,-1.570836278533297e-08,7.897477356107937e-09,-1.570836278533297e-08,7.897477356107937e-09,-1.570836278533297e-08,-7.274152918263138e-08,3.015758821283134e-08,4.543606234847673e-08,8.5426323571751e-08,3.015758821283134e-08,3.758460272061032e-08,-4.817682791933374e-08,2.2718347817540524e-08,7.122959475588476e-08,9.663326287890722e-08,2.9523036739343386e-08,4.00273532431622e-08,3.3775139070435214e-08,-5.924680937403867e-09,-3.158122942377624e-08,8.319233457595386e-08,-5.924680937403867e-09,7.081202348833971e-08,8.319233457595386e-08,3.612793471542647e-08,7.081202348833971e-08,3.612793471542647e-08,7.081202348833971e-08,3.612793471542647e-08,-7.629617213413836e-08,-1.7423848217670625e-08,2.0018041236001667e-09,3.4356579469007314e-08,-1.7423848217670625e-08,-1.9063581154045816e-08,-1.1437203019361078e-07,-5.064373269622859e-08,1.2138343732505695e-09,6.806838855737003e-09,-5.1333041509959095e-08,-5.5582043927957375e-08,-1.890945520092747e-08,-6.375286111734262e-08,-6.33807523588854e-08,4.680182947735662e-08,-6.375286111734262e-08,1.4272962849245382e-08,4.680182947735662e-08,-7.726111352253103e-09,1.4272962849245382e-08,-7.726111352253103e-09,1.4272962849245382e-08,-7.726111352253103e-09
sub-101,1,-7.105097867836123e-08,-1.4288472106168533e-07,-1.6614898454721114e-07,-1.0679705478077277e-07,-1.4288472106168533e-07,-1.5494728832518892e-07,-1.1007382272111916e-07,-9.783376242195208e-08,-1.7733740204389902e-07,-9.094487742145816e-08,-8.595870999114496e-08,-8.048996346725425e-08,-9.53087465345039e-08,-7.738328731933744e-08,-7.265711201722404e-08,-1.4842815725605462e-07,-7.738328731933744e-08,-1.555043651496685e-07,-1.4842815725605462e-07,-5.8733735082608126e-08,-1.555043651496685e-07,-5.8733735082608126e-08,-1.555043651496685e-07,-5.8733735082608126e-08,-2.1694032159071375e-07,-3.4624183401792215e-07,-2.9608355933239164e-07,-2.2402673986852996e-07,-3.4624183401792215e-07,-3.1939539149394866e-07,-2.701730025054866e-07,-1.0317249896426768e-07,-3.3448115542527515e-07,-2.6457730376515473e-07,-2.2318829000165004e-07,-2.1736221015286838e-07,-3.636128204001611e-07,-2.5890250592706994e-07,-1.8455435311238614e-07,-2.158853047511275e-07,-2.5890250592706994e-07,-3.1885793486112176e-07,-2.158853047511275e-07,-2.1083023925698449e-07,-3.1885793486112176e-07,-2.1083023925698449e-07,-3.1885793486112176e-07,-2.1083023925698449e-07,-1.2435266695562356e-07,-1.5821776505265225e-07,-2.149239603973377e-07,-1.5704664452031775e-07,-1.5821776505265225e-07,-1.747448814739754e-07,-1.4619468118658987e-07,-3.970966701870165e-08,-1.4043470498706085e-07,-1.4149596858067237e-07,-1.1222400835019095e-07,-1.14798918254076e-07,-1.3825589739827083e-07,-1.2930894278056732e-07,-9.825673696708236e-08,-1.1564524809907142e-07,-1.2930894278056732e-07,-1.468957811310497e-07,-1.1564524809907142e-07,-1.1018121295747392e-07,-1.468957811310497e-07,-1.1018121295747392e-07,-1.468957811310497e-07,-1.1018121295747392e-07
sub-101,4,6.854295130701052e-08,1.563502462123568e-07,1.2075822396493429e-07,1.0661976059437333e-07,1.563502462123568e-07,1.3856062312978332e-07,1.2129798390506222e-07,4.591665859077987e-08,1.2525544850127963e-07,1.3506461918328744e-07,6.578145665149622e-08,1.1991896131425123e-07,1.0450043728000808e-07,1.789360447964491e-07,1.2371392464288361e-07,7.21552347684082e-08,1.789360447964491e-07,1.392406171146458e-07,7.21552347684082e-08,1.0804338267941078e-07,1.392406171146458e-07,1.0804338267941078e-07,1.392406171146458e-07,1.0804338267941078e-07,-4.23345496823617e-08,-1.082686846024395e-07,4.155228827890111e-08,5.8110494481737694e-08,-1.082686846024395e-07,-9.283569379316895e-08,-2.1933080800564992e-08,2.9991659850268926e-08,-1.2232448559401326e-07,-1.0957327055165577e-07,-5.5503206583146626e-08,-9.656181821994608e-08,-1.5169821384014878e-07,9.599299002218466e-08,2.9496353128455738e-08,-1.2847014525170336e-08,9.599299002218466e-08,-1.030344876812562e-07,-1.2847014525170336e-08,-4.752629908651004e-08,-1.030344876812562e-07,-4.752629908651004e-08,-1.030344876812562e-07,-4.752629908651004e-08,-5.168071250647916e-08,-4.2685744757563676e-08,4.663471816635005e-08,3.576296289188531e-08,-4.2685744757563676e-08,-3.099187532821084e-08,-7.399157690491879e-09,3.677781808507386e-08,-7.4290868453929384e-09,-5.7666686463472846e-08,-2.848574579866612e-08,-5.366930794550893e-08,-1.397103691623953e-07,7.855581691436211e-08,4.139977551725344e-08,2.7382678780533507e-08,7.855581691436211e-08,1.718898158336499e-08,2.7382678780533507e-08,4.968935342691545e-09,1.718898158336499e-08,4.968935342691545e-09,1.718898158336499e-08,4.968935342691545e-09
sub-101,2,1.206235302590525e-07,1.4314278270367204e-07,2.2468283236494018e-08,2.4332192649839304e-08,1.4314278270367204e-07,1.236010665448962e-07,1.0357019798601951e-07,1.868318942008433e-09,1.9447802171687164e-07,1.495827467588534e-07,7.898354809823446e-08,9.961011798932113e-08,1.677314044526918e-07,5.732859805296887e-08,5.623947926319106e-08,5.5721164561182925e-08,5.732859805296887e-08,1.7086942572600282e-07,5.5721164561182925e-08,1.270244508211144e-07,1.7086942572600282e-07,1.270244508211144e-07,1.7086942572600282e-07,1.270244508211144e-07,-4.8153153461931675e-08,-1.2609332176923e-07,-1.9243629549477524e-07,-1.9388289874363846e-07,-1.2609332176923e-07,-7.518197531543729e-08,-1.575664298496746e-07,-4.3667723290246115e-08,-1.9619374702329844e-08,-2.1784251754819096e-08,-1.6158184596951668e-07,-5.80101214345447e-08,-2.271607139812607e-07,-2.3315729952423618e-07,-1.2826143518828923e-07,-9.531008779506006e-08,-2.3315729952423618e-07,-6.231877897448784e-08,-9.531008779506006e-08,-6.253475167040825e-08,-6.231877897448784e-08,-6.253475167040825e-08,-6.231877897448784e-08,-6.253475167040825e-08,-5.819886534968675e-08,-4.4556918735073066e-08,-1.9672304188280696e-07,-1.899269426931619e-07,-4.4556918735073066e-08,-2.395698956445612e-09,-1.412016603787385e-07,-9.280886442724612e-09,8.213444224467369e-08,6.896841866675426e-08,-9.689345054240092e-08,2.6093472271957337e-08,-1.9804499604527223e-07,-1.8087349547829386e-07,-1.1159649639216285e-07,-2.7599471269169653e-08,-1.8087349547829386e-07,5.2352136484117474e-08,-2.7599471269169653e-08,1.1517758885568713e-08,5.2352136484117474e-08,1.1517758885568713e-08,5.2352136484117474e-08,1.1517758885568713e-08
sub-101,3,-1.31968752098459e-07,-1.3767379168323202e-07,-2.0016701035914126e-07,-1.7070696023266117e-07,-1.3767379168323202e-07,-6.784067893385324e-08,-1.3782757241333664e-07,-6.926142970831297e-08,-5.5924290788834546e-09,-2.5784489004444082e-08,-8.027004723397463e-08,-4.6783507196785175e-09,-2.506386691937266e-07,-2.170975388317696e-07,-1.2287386041666502e-07,-3.3502156629754975e-08,-2.170975388317696e-07,-4.347708874537231e-08,-3.3502156629754975e-08,-9.51591142794848e-08,-4.347708874537231e-08,-9.51591142794848e-08,-4.347708874537231e-08,-9.51591142794848e-08,-1.2106738025414407e-07,-9.352092638998228e-08,-1.9140008232117974e-07,-1.9641598394586176e-07,-9.352092638998228e-08,-3.342972124889239e-08,-9.451036295392698e-08,-4.288628990467108e-08,1.1685953474099918e-08,-2.2305491796735143e-08,-3.975412276849283e-08,1.6002261084059858e-08,-2.3650519723511367e-07,-2.186239302856886e-07,-1.3394548120761947e-07,-5.841678954585633e-08,-2.186239302856886e-07,-2.755345071632519e-08,-5.841678954585633e-08,-7.201079618079431e-08,-2.755345071632519e-08,-7.201079618079431e-08,-2.755345071632519e-08,-7.201079618079431e-08,-1.4034320808600546e-07,-1.424797271949848e-07,-1.9961507880565364e-07,-2.4554706406581474e-07,-1.424797271949848e-07,-9.482537242374776e-08,-1.2594074564172963e-07,-2.2446866570950952e-08,-9.222111905661616e-08,-1.0917878721161016e-07,-9.525375192011255e-08,-4.988832607432573e-08,-3.3821285809886426e-07,-2.869831792824979e-07,-1.588278994738611e-07,-1.1092025771901176e-07,-2.869831792824979e-07,-1.3732825107176628e-07,-1.1092025771901176e-07,-1.3563083241523107e-07,-1.3732825107176628e-07,-1.3563083241523107e-07,-1.3732825107176628e-07,-1.3563083241523107e-07
sub-101,1,-2.55178387806467e-08,8.873202613466255e-08,1.0624299571018709e-08,9.927704845894683e-08,8.873202613466255e-08,-8.049887985397692e-08,1.1398684226502915e-08,-2.2046832805412407e-08,-1.462173899664236e-07,-8.195483925408427e-08,-8.484899424417825e-08,-1.1375670390395376e-07,2.1695108027967018e-07,2.2624558451492623e-07,4.5046862306307094e-08,8.610449219296488e-08,2.2624558451492623e-07,6.317177741990674e-08,8.610449219296488e-08,3.7454566924469355e-08,6.317177741990674e-08,3.7454566924469355e-08,6.317177741990674e-08,3.7454566924469355e-08,-1.0890201990241696e-07,-3.497030774684813e-08,6.584205260702422e-10,1.4197867645606392e-07,-3.497030774684813e-08,-2.1482080465244324e-07,-1.2799154770659194e-07,-7.988849666674368e-08,-2.661137739525422e-07,-1.609334970889447e-07,-1.84567746103086e-07,-2.0873637844003795e-07,1.0118193681686626e-07,2.401203737222054e-07,8.32315809198638e-08,1.7255254011201957e-07,2.401203737222054e-07,-7.884444774059853e-08,1.7255254011201957e-07,-3.322002806282991e-08,-7.884444774059853e-08,-3.322002806282991e-08,-7.884444774059853e-08,-3.322002806282991e-08,-3.9427470627329426e-08,7.385603896706857e-08,2.8864592283590475e-08,1.3954589636319533e-07,7.385603896706857e-08,-7.881171853560343e-08,-5.8049609141154664e-08,1.897258997732704e-08,-1.0556121614902507e-07,-2.0068600257386867e-08,-8.360916219398638e-08,-8.271144197797869e-08,1.2037374382523435e-07,2.1801503704388966e-07,1.2515736506661174e-07,1.9025743865252288e-07,2.1801503704388966e-07,3.845049836181537e-08,1.9025743865252288e-07,3.66048155800791e-08,3.845049836181537e-08,3.66048155800791e-08,3.845049836181537e-08,3.66048155800791e-08
sub-101,4,4.954202082230846e-08,9.308603914090899e-08,3.790624357382298e-08,5.521460918993769e-08,9.308603914090899e-08,5.4183326202424444e-08,1.013716308692975e-07,1.0495253246848168e-07,6.68351725693134e-08,5.976328806189695e-08,9.83476996334067e-08,7.738288920111652e-08,2.6901593412946817e-07,1.4767208479506148e-07,1.1726885839168548e-07,9.783811922631249e-08,1.4767208479506148e-07,1.1405323394473382e-07,9.783811922631249e-08,9.51730209818183e-08,1.1405323394473382e-07,9.51730209818183e-08,1.1405323394473382e-07,9.51730209818183e-08,-5.952188625376587e-08,-1.648770628371614e-07,-3.540253058661457e-08,1.4725439342735493e-08,-1.648770628371614e-07,-1.6105410565286575e-07,-5.5509832224186114e-08,-6.403537515603681e-08,-1.7041788236304156e-07,-1.61218820910836e-07,-6.150693152449831e-08,-1.0046750970626452e-07,-2.1830191365249222e-08,1.3958160779678576e-08,3.475971272068217e-08,8.086852097049316e-08,1.3958160779678576e-08,-1.7431831100387748e-07,8.086852097049316e-08,-8.131572818883699e-08,-1.7431831100387748e-07,-8.131572818883699e-08,-1.7431831100387748e-07,-8.131572818883699e-08,-9.771460987304648e-08,-1.6125026669882378e-07,-5.413674545140831e-08,3.5179766958747147e-09,-1.6125026669882378e-07,-1.3034978888167103e-07,-8.65621725923458e-08,-3.991297995975873e-08,-1.0801315461084459e-07,-1.13366401618961e-07,1.0315682133464246e-08,-5.6585976623324796e-08,-1.1312901956813431e-07,-6.572104425964139e-09,-3.533798310762292e-08,3.290690377432667e-08,-6.572104425964139e-09,-1.1855977315747671e-07,3.290690377432667e-08,-6.212835974347476e-08,-1.1855977315747671e-07,-6.212835974347476e-08,-1.1855977315747671e-07,-6.212835974347476e-08
sub-101,2,-2.1322451261176186e-08,-5.022595494866774e-09,-1.0606016864667467e-07,-1.1478738719771842e-07,-5.022595494866774e-09,1.829359414257888e-09,1.1337751543726538e-08,-1.4051819827036775e-08,-2.0376560587020285e-08,-2.9249833555379506e-08,-1.1308703071825567e-07,-5.325961105359285e-08,-7.345155667757586e-08,-1.4287301007714786e-07,-3.010485495958109e-09,-5.1192773253577786e-08,-1.4287301007714786e-07,1.6695034739788378e-08,-5.1192773253577786e-08,-1.7570451777426955e-08,1.6695034739788378e-08,-1.7570451777426955e-08,1.6695034739788378e-08,-1.7570451777426955e-08,-9.773822822415286e-08,-1.262742334170989e-07,-1.6403625202785713e-07,-1.503311058833539e-07,-1.262742334170989e-07,-9.654183495215318e-08,-7.329141778742533e-08,-9.629763045060923e-08,-9.649934872089377e-08,-1.210131090376139e-07,-2.327839866675518e-07,-1.6502195168802426e-07,-1.1402457669181817e-07,-1.8372892667141487e-07,-7.12146745885534e-08,-1.5340286629180876e-07,-1.8372892667141487e-07,-1.2463805101757157e-07,-1.5340286629180876e-07,-9.573446996041873e-08,-1.2463805101757157e-07,-9.573446996041873e-08,-1.2463805101757157e-07,-9.573446996041873e-08,-1.0806492937000506e-07,-2.128002701672681e-07,-1.7632757368990333e-07,-1.2541739864855585e-07,-2.128002701672681e-07,-1.733881404661438e-07,-1.1109700316060113e-07,-1.446486905346433e-07,-1.8662874738209546e-07,-1.9051387201726758e-07,-1.9735600233209893e-07,-1.9658632603679088e-07,-1.7217421406490003e-07,-1.7727792402296444e-07,-9.79923352108639e-08,-1.5442533487177793e-07,-1.7727792402296444e-07,-1.9018175820889942e-07,-1.5442533487177793e-07,-1.1613157123135014e-07,-1.9018175820889942e-07,-1.1613157123135014e-07,-1.9018175820889942e-07,-1.1613157123135014e-07
sub-101,3,1.3529778006201803e-07,1.7727021023420148e-07,1.384316833653214e-07,3.762174349991084e-08,1.7727021023420148e-07,1.5898065856861059e-07,1.9074802506905912e-07,7.56452805084728e-08,8.354483062702428e-08,3.037270959649796e-08,8.99710367910654e-08,6.930977556862384e-08,6.5820742409739e-08,3.2105146314617744e-08,1.6516708622686865e-07,1.2080919643395113e-07,3.2105146314617744e-08,1.74437254784535e-07,1.2080919643395113e-07,5.6016726677860413e-08,1.74437254784535e-07,5.6016726677860413e-08,1.74437254784535e-07,5.6016726677860413e-08,1.047555811370854e-07,1.512733800518088e-07,1.5309796216396232e-07,5.92503240712259e-08,1.512733800518088e-07,1.0777697367891166e-07,1.3875000057797168e-07,1.6437695804941323e-09,4.991097409581152e-08,-7.953643402560283e-09,-8.249685874774135e-09,-2.808798638100418e-08,1.877372555909055e-08,-1.3222356120635824e-08,1.816820422217817e-07,1.1460771044370557e-07,-1.3222356120635824e-08,1.1555253571918661e-07,1.1460771044370557e-07,-5.904897733306865e-09,1.1555253571918661e-07,-5.904897733306865e-09,1.1555253571918661e-07,-5.904897733306865e-09,-4.2868948486762606e-08,2.181246622831142e-09,8.410122596430714e-08,2.8337337381833025e-08,2.181246622831142e-09,-8.54523643777213e-08,-4.150238454495112e-09,-1.248493643325918e-07,-1.5532920775974582e-07,-1.9146762800682643e-07,-1.4072613976740903e-07,-2.0628375911737806e-07,-5.349781824191589e-08,-9.327089458504032e-08,8.039407436985409e-08,3.835693698219416e-08,-9.327089458504032e-08,-9.233839130385804e-08,3.835693698219416e-08,-1.2868339297145714e-07,-9.233839130385804e-08,-1.2868339297145714e-07,-9.233839130385804e-08,-1.2868339297145714e-07
sub-101,1,7.218094030013998e-08,-3.2593806887676544e-07,-5.447383371304002e-08,6.83428658375689e-08,-3.2593806887676544e-07,-2.106704170570587e-07,-4.882186595710877e-08,-7.886890931113467e-09,-2.8021345270887676e-07,-7.80104332916073e-08,6.162450590703323e-08,1.997353952786345e-08,6.03488108972389e-08,5.356594037321629e-08,-1.5588079832331052e-08,6.781926004026789e-08,5.356594037321629e-08,-2.433580005566894e-07,6.781926004026789e-08,-1.3443900803642107e-08,-2.433580005566894e-07,-1.3443900803642107e-08,-2.433580005566894e-07,-1.3443900803642107e-08,-3.7169334344410956e-08,-4.943643476464874e-07,-1.483130533382211e-07,-6.234706317791494e-08,-4.943643476464874e-07,-3.62451373845118e-07,-2.2368148413444817e-07,-7.884837025104953e-08,-4.1318656537128407e-07,-2.147129042843152e-07,-3.0748159435382326e-08,-7.24166612495693e-08,-1.3723044518873537e-07,-1.208413951186528e-07,-1.3890975671184234e-07,1.0568628074382109e-07,-1.208413951186528e-07,-4.305990806477569e-07,1.0568628074382109e-07,-1.7610006957007253e-07,-4.305990806477569e-07,-1.7610006957007253e-07,-4.305990806477569e-07,-1.7610006957007253e-07,-2.8720345968011965e-09,-2.8780105354859574e-07,-1.0831164095005346e-07,-1.3856501199171977e-08,-2.8780105354859574e-07,-1.5990378220273363e-07,-1.286526936728716e-07,2.9351734099510418e-08,-1.65222639890037e-07,-1.681593890521989e-08,9.06022388536535e-08,8.739936022902794e-08,-1.566037249615422e-08,-3.8717818663711636e-08,-9.832458061767587e-08,1.1821565224698789e-07,-3.8717818663711636e-08,-1.9629507922366484e-07,1.1821565224698789e-07,-6.203844374773469e-08,-1.9629507922366484e-07,-6.203844374773469e-08,-1.9629507922366484e-07,-6.203844374773469e-08
